7zip 24.09-3
a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20250127.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
ada 3.2.1-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 48.0-1
adwaita-fonts 48.2-1
adwaita-icon-theme 48.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
aircrack-ng 1.7-5
airgeddon 11.40-1
akonadi-notes 24.08.3-1
alsa-card-profiles 1:1.4.1-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.13-1
alsa-oss 1.1.8-6
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
alsa-utils 1.2.13-2
amd-ucode 20250311.b69d4b74-3
amdvlk 2025.Q1.3-1
analitza 24.12.3-1
android-tools 35.0.2-14
android-udev 20250314-1
aom 3.12.0-1
apache 2.4.63-1
appstream 1.0.4-1
appstream-glib 0.8.3-2
appstream-qt 1.0.4-1
apr 1.7.5-3
apr-util 1.6.3-2
arch-install-scripts 29-1
archiso 83-1
archlinux-appstream-data 20250317-1
archlinux-keyring 20250123-1
argon2 20190702-6
aribb24 1.0.3-4
asciidoc 10.2.1-2
at-spi2-core 2.56.1-1
atkmm 2.28.4-1
attica 6.12.0-1
attica5 5.116.0-1
attr 2.5.2-1
audiofile 0.3.6-10
audit 4.0.3-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
avogadro-crystals 1.100.0-1
avogadro-fragments 1.100.0-1
avogadro-molecules 1.100.0-1
avogadrolibs 1.100.0-1
avogadrolibs-qt5 1.100.0-1
b43-fwcutter 019-6
babl 0.1.112-1
baloo 6.12.0-1
baloo-widgets 24.12.3-1
baobab 48.0-1
base 3-2
base-devel 1-2
bash 5.2.037-2
bash-completion 2.16.0-1
bc 1.08.1-1
bettercap 2.41.0-1
bind 9.20.7-1
binutils 2.44-1
bison 3.8.2-8
blas 3.12.1-2
bluez 5.82-1
bluez-libs 5.82-1
bluez-obex 5.82-1
bluez-qt 6.12.0-1
bluez-tools 0.2.0-6
bolt 0.9.8-1
boost 1.87.0-3
boost-libs 1.87.0-3
box2d 3.0.0-1
bpytop 1.0.68-2
breeze-icons 6.12.0-1
brltty 6.7-5
broadcom-wl-dkms 6.30.223.271-42
brotli 1.1.0-3
btrfs-progs 6.14-1
bubblewrap 0.11.0-1
busybox 1.36.1-2
bzip2 1.0.8-6
c-ares 1.34.4-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.110-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
calibre 8.0.1-3
cantarell-fonts 1:0.303.1-2
cblas 3.12.1-2
cdparanoia 10.2-9
cdrtools 3.02a09-6
cfitsio 1:4.6.2-1
chmlib 0.40-8
chromaprint 1.5.1-10
cifs-utils 7.3-1
clang 19.1.7-1
clinfo 3.0.23.01.25-1
clucene 2.3.3.4-16
cmake 4.0.0-1
cmark 0.31.1-1
colord 1.4.7-2
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
colord-sane 1.4.7-2
compiler-rt 19.1.7-1
composefs 1.0.7-1
confuse 3.3-4
convertlit 1.8-12
coordgen 3.0.2-2
coreutils 9.6-4
cpio 2.15-2
cppcheck 2.17.1-3
cppdap 1.58.0-2
cracklib 2.10.3-1
cronie 1.7.2-1
crypto++ 8.9.0-1
cryptsetup 2.7.5-2
cups-pk-helper 0.2.7-2
curl 8.13.0-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.114-1
dconf 0.40.0-3
ddcutil 2.2.0-1
ddrescue 1.29.1-1
debugedit 5.1-1
debuginfod 0.192-4
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.31-1
dhclient 4.4.3.P1-4
dhcpcd 10.2.2-1
dialog 1:1.3_20250116-1
diffutils 3.11-2
ding-libs 0.6.2-2
discord 0.0.90-1
discount 3.0.0.d-1
djvulibre 3.5.28-6
dkms 3.1.6-1
dmidecode 3.6-1
dnsmasq 2.91-1
dnssec-anchors 20190629-4
docbook-xml 4.5-10
docbook-xsl 1.79.2-9
dosfstools 4.2-5
dotconf 1.4.1-1
